PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED
"156609","2021-12-05","14:30:29","0.928516","844","0",\N
"82198","2021-09-26","15:45:28","0.982863","335","0",\N
"79261","2021-09-23","08:26:43","0.908548","275","0",\N
"34549","2021-08-30","09:10:48","0.947704","820","0",\N
"126111","2021-10-15","15:56:06","0.950732","922","0",\N
"32407","2021-08-30","07:35:52","0.990691","64","0",\N
"36674","2021-09-01","09:10:46","0.912024","114","0",\N
"136977","2021-10-25","08:23:58","0.975185","199","0",\N
"23559","2021-08-26","10:20:40","0.970994","1688","0",\N
"82541","2021-09-26","18:03:51","0.974056","676","0",\N
"47979","2021-09-11","17:22:02","0.913625","705","0",\N
"129970","2021-10-19","17:16:06","0.99144","279","0",\N
"22259","2021-08-26","09:49:25","0.969903","1298","0",\N
"57610","2021-09-21","08:29:58","0.928667","186","0",\N
"62236","2021-09-21","10:10:20","0.955276","815","0",\N
"68585","2021-09-21","12:41:11","0.994729","2307","0",\N
"1514","2021-08-23","18:44:08","0.946093","606","0",\N
"14023","2021-08-24","11:11:21","0.952025","2094","0",\N
"105350","2021-10-11","15:10:46","0.983669","1","0",\N
"15877","2021-08-24","18:35:03","0.991933","669","0",\N
"9693","2021-08-24","09:28:59","0.99739","1185","0",\N
"3525","2021-08-24","08:04:55","0.97301","2","0",\N
"47103","2021-09-10","15:09:41","0.905168","1169","0",\N
"73241","2021-09-21","14:55:56","0.935759","3645","0",\N
"159046","2021-12-06","11:18:10","0.989588","2921","0",\N
"141687","2021-10-25","10:34:08","0.927462","2026","0",\N
"30855","2021-08-29","16:44:31","0.942359","1331","0",\N
"152880","2021-11-14","14:48:16","0.947299","111","0",\N
"114948","2021-10-14","11:34:52","0.930217","564","0",\N
"110512","2021-10-13","11:45:58","0.968797","459","0",\N
"96810","2021-10-06","09:02:14","0.915793","206","0",\N
"69453","2021-09-21","13:05:48","0.938405","2576","0",\N
"138701","2021-10-25","09:07:18","0.97289","782","0",\N
"117706","2021-10-14","13:22:17","0.957082","1139","0",\N
"108684","2021-10-13","09:22:47","0.991894","64","0",\N
"60927","2021-09-21","09:47:56","0.996601","491","0",\N
"99657","2021-10-06","11:36:24","0.915157","1375","0",\N
"60391","2021-09-21","09:33:31","0.984017","420","0",\N
"1891","2021-08-23","18:52:42","0.986385","700","0",\N
"113730","2021-10-13","17:36:40","0.920497","495","0",\N
"83864","2021-09-30","15:44:14","0.917814","369","0",\N
"71153","2021-09-21","14:03:30","0.933098","3047","0",\N
"72598","2021-09-21","14:37:54","0.986522","3467","0",\N
"49258","2021-09-18","15:17:56","0.940224","220","0",\N
"142143","2021-10-25","10:51:46","0.959449","2296","0",\N
"42226","2021-09-01","13:52:40","0.974787","2547","0",\N
"24505","2021-08-26","13:02:56","0.979551","3546","0",\N
"151782","2021-11-02","14:31:11","0.981895","1018","0",\N
"137766","2021-10-25","08:53:23","0.971952","449","0",\N
"123701","2021-10-15","14:01:46","0.979877","331","0",\N
"2273","2021-08-24","07:42:34","0.998674","93","0",\N
"121796","2021-10-14","17:19:03","0.973946","1949","0",\N
"17108","2021-08-25","18:29:52","0.914448","398","0",\N
"133371","2021-10-22","15:34:28","0.90782","1112","0",\N
"10195","2021-08-24","09:33:32","0.917697","1181","0",\N
"132562","2021-10-22","13:09:13","0.944612","758","0",\N
"132160","2021-10-22","12:22:30","0.947142","590","0",\N
"146418","2021-10-25","15:33:33","0.946677","4536","0",\N
"92908","2021-10-05","14:43:28","0.94064","1205","0",\N
"64270","2021-09-21","10:49:28","0.92193","1221","0",\N
"135965","2021-10-24","16:50:26","0.955169","885","0",\N
"121648","2021-10-14","17:13:35","0.978755","1931","0",\N
"51112","2021-09-18","17:59:23","0.959556","931","0",\N
"97132","2021-10-06","09:45:22","0.962886","367","0",\N
"5899","2021-08-24","08:38:46","0.984728","428","0",\N
"154820","2021-11-30","12:05:40","0.939584","1393","0",\N
"18477","2021-08-26","08:12:50","0.924667","133","0",\N
"62179","2021-09-21","10:09:13","0.908326","807","0",\N
"59273","2021-09-21","09:16:02","0.976259","233","0",\N
"98353","2021-10-06","10:28:13","0.941234","796","0",\N
"153029","2021-11-14","14:53:08","0.956302","249","0",\N
"17288","2021-08-25","19:06:22","0.906059","23","0",\N
"140947","2021-10-25","09:43:30","0.936738","1716","0",\N
